Ime,Prezime,Email,Predmeti
Lucija,Vuković,lucija.vukovic@eduxhub.onmicrosoft.com,Tjelesna_i_zdravstvena_kultura_1_opca;Tjelesna_i_zdravstvena_kultura_1_primat;Tjelesna_i_zdravstvena_kultura_1_jezicna;Tjelesna_i_zdravstvena_kultura_2_opca;Tjelesna_i_zdravstvena_kultura_2_primat;Tjelesna_i_zdravstvena_kultura_2_jezicna;Tjelesna_i_zdravstvena_kultura_3_opca;Tjelesna_i_zdravstvena_kultura_3_jezicna;Tjelesna_i_zdravstvena_kultura_3_primat;Tjelesna_i_zdravstvena_kultura_4_opca;Tjelesna_i_zdravstvena_kultura_4_jezicna;Tjelesna_i_zdravstvena_kultura_4_primat
Sara,Matić,sara.matic@eduxhub.onmicrosoft.com,Tjelesna_i_zdravstvena_kultura_1_opca;Tjelesna_i_zdravstvena_kultura_1_primat;Tjelesna_i_zdravstvena_kultura_1_jezicna;Tjelesna_i_zdravstvena_kultura_2_opca;Tjelesna_i_zdravstvena_kultura_2_primat;Tjelesna_i_zdravstvena_kultura_2_jezicna;Tjelesna_i_zdravstvena_kultura_3_opca;Tjelesna_i_zdravstvena_kultura_3_jezicna;Tjelesna_i_zdravstvena_kultura_3_primat;Tjelesna_i_zdravstvena_kultura_4_opca;Tjelesna_i_zdravstvena_kultura_4_jezicna;Tjelesna_i_zdravstvena_kultura_4_primat
Maja,Kralj,maja.kralj@eduxhub.onmicrosoft.com,Tjelesna_i_zdravstvena_kultura_1_opca;Tjelesna_i_zdravstvena_kultura_1_primat;Tjelesna_i_zdravstvena_kultura_1_jezicna;Tjelesna_i_zdravstvena_kultura_2_opca;Tjelesna_i_zdravstvena_kultura_2_primat;Tjelesna_i_zdravstvena_kultura_2_jezicna;Tjelesna_i_zdravstvena_kultura_3_opca;Tjelesna_i_zdravstvena_kultura_3_jezicna;Tjelesna_i_zdravstvena_kultura_3_primat;Tjelesna_i_zdravstvena_kultura_4_opca;Tjelesna_i_zdravstvena_kultura_4_jezicna;Tjelesna_i_zdravstvena_kultura_4_primat
Marija,Kralj,marija.kralj@eduxhub.onmicrosoft.com,Glazbena_umjetnost_1_opca;Glazbena_umjetnost_1_primat;Glazbena_umjetnost_1_jezicna;Glazbena_umjetnost_2_opca;Glazbena_umjetnost_2_primat;Glazbena_umjetnost_2_jezicna;Glazbena_umjetnost_3_opca;Glazbena_umjetnost_3_jezicna;Glazbena_umjetnost_4_opca;Glazbena_umjetnost_4_jezicna
Karla,Novak,karla.novak@eduxhub.onmicrosoft.com,Glazbena_umjetnost_1_opca;Glazbena_umjetnost_1_primat;Glazbena_umjetnost_1_jezicna;Glazbena_umjetnost_2_opca;Glazbena_umjetnost_2_primat;Glazbena_umjetnost_2_jezicna;Glazbena_umjetnost_3_opca;Glazbena_umjetnost_3_jezicna;Glazbena_umjetnost_4_opca;Glazbena_umjetnost_4_jezicna
Sara,Tomić,sara.tomic@eduxhub.onmicrosoft.com,Vjeronauk_1_opca;Vjeronauk_1_primat;Vjeronauk_1_jezicna;Vjeronauk_2_opca;Vjeronauk_2_primat;Vjeronauk_2_jezicna;Vjeronauk_3_opca;Vjeronauk_3_jezicna;Vjeronauk_3_primat;Vjeronauk_4_opca;Vjeronauk_4_jezicna;Vjeronauk_4_primat
Ivan,Marić,ivan.maric@eduxhub.onmicrosoft.com,Vjeronauk_1_opca;Vjeronauk_1_primat;Vjeronauk_1_jezicna;Vjeronauk_2_opca;Vjeronauk_2_primat;Vjeronauk_2_jezicna;Vjeronauk_3_opca;Vjeronauk_3_jezicna;Vjeronauk_3_primat;Vjeronauk_4_opca;Vjeronauk_4_jezicna;Vjeronauk_4_primat
Marija,Perić,marija.peric@eduxhub.onmicrosoft.com,Etika_1_opca;Etika_1_primat;Etika_1_jezicna;Etika_2_opca;Etika_2_primat;Etika_2_jezicna;Etika_3_opca;Etika_3_jezicna;Etika_3_primat;Etika_4_opca;Etika_4_jezicna;Etika_4_primat
Filip,Jurić,filip.juric@eduxhub.onmicrosoft.com,Etika_1_opca;Etika_1_primat;Etika_1_jezicna;Etika_2_opca;Etika_2_primat;Etika_2_jezicna;Etika_3_opca;Etika_3_jezicna;Etika_3_primat;Etika_4_opca;Etika_4_jezicna;Etika_4_primat
Dario,Petrović,dario.petrovic@eduxhub.onmicrosoft.com,Latinski_jezik_1_opca;Latinski_jezik_1_primat;Latinski_jezik_1_jezicna;Latinski_jezik_2_opca;Latinski_jezik_2_primat;Latinski_jezik_2_jezicna
Petra,Pavlović,petra.pavlovic@eduxhub.onmicrosoft.com,Latinski_jezik_1_opca;Latinski_jezik_1_primat;Latinski_jezik_1_jezicna;Latinski_jezik_2_opca;Latinski_jezik_2_primat;Latinski_jezik_2_jezicna
Karla,Šimić,karla.simic@eduxhub.onmicrosoft.com,Likovna_umjetnost_1_opca;Likovna_umjetnost_1_primat;Likovna_umjetnost_1_jezicna;Likovna_umjetnost_2_opca;Likovna_umjetnost_2_primat;Likovna_umjetnost_2_jezicna;Likovna_umjetnost_3_opca;Likovna_umjetnost_3_jezicna;Likovna_umjetnost_4_opca;Likovna_umjetnost_4_jezicna
Maja,Knežević,maja.knezevic@eduxhub.onmicrosoft.com,Likovna_umjetnost_1_opca;Likovna_umjetnost_1_primat;Likovna_umjetnost_1_jezicna;Likovna_umjetnost_2_opca;Likovna_umjetnost_2_primat;Likovna_umjetnost_2_jezicna;Likovna_umjetnost_3_opca;Likovna_umjetnost_3_jezicna;Likovna_umjetnost_4_opca;Likovna_umjetnost_4_jezicna
Nina,Grgić,nina.grgic@eduxhub.onmicrosoft.com,Hrvatski_jezik_1_opca;Hrvatski_jezik_2_opca;Hrvatski_jezik_3_opca;Hrvatski_jezik_4_opca
