imeUcenik,prezimeUcenik,oib,datumRodenja,razred,spol,email,vjeronauk,aktivnosti
Marko,Marić,07259579773,2009-10-10,1a,M,marko.maric@eduxhub.onmicrosoft.com,False,Šah
Katarina,Katić,80958757359,2006-03-21,1b,Ž,katarina.katic@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Hrvatski_jezik
Petra,Perić,26735794248,2009-11-22,1b,Ž,petra.peric@eduxhub.onmicrosoft.com,True,Dodatna_nastava_Engleski_jezik
Marin,Čilić,96837153353,2006-11-03,1c,M,marin.cilic@eduxhub.onmicrosoft.com,True,Nogomet
Luka,Modrić,32398169665,2006-01-24,1c,M,luka.modric@eduxhub.onmicrosoft.com,True,Dodatna_nastava_Matematika
Patrik,Lukić,98164316025,2006-07-29,1d,M,patrik.lukic@eduxhub.onmicrosoft.com,False,Odbojka
Franka,Batelić,72146886823,2006-11-05,1d,Ž,franka.batelic@eduxhub.onmicrosoft.com,False,Stolni_tenis
Marija,Šokčević,23042368004,2008-06-08,1e,Ž,marija.sokcevic@eduxhub.onmicrosoft.com,True,Šah
Fran,Papić,70130788730,2007-04-17,1e,M,fran.papic@eduxhub.onmicrosoft.com,False,Odbojka
Luka,Matković,89601887825,2008-10-20,1f,M,luka.matkovic@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Engleski_jezik;Nogomet
Tomislav,Šikić,56378066735,2011-01-12,1f,M,tomislav.sikic@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Matematika
Matej,Šimunić,23659587370,2007-06-11,2a,M,matej.simunic@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Hrvatski_jezik
Filip,Jukić,73190928732,2009-11-15,2a,M,filip.jukic@eduxhub.onmicrosoft.com,True,Šah
Ante,Gorica,19673383070,2006-06-21,2b,M,ante.gorica@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Fizika
Julija,Koščić,68211797016,2006-01-16,2b,Ž,julija.koscic@eduxhub.onmicrosoft.com,True,Dodatna_nastava_Matematika;Dodatna_nastava_Engleski_jezik
Lucija,Ćenan,39854717127,2007-05-16,2c,Ž,lucija.cenan@eduxhub.onmicrosoft.com,False,Košarka
Marina,Peranović,40969525309,2007-08-28,2c,Ž,marina.peranovic@eduxhub.onmicrosoft.com,True,Dodatna_nastava_Hrvatski_jezik
Josip,Grbešić,23526499712,2007-07-17,2d,M,josip.grbesic@eduxhub.onmicrosoft.com,False,Nogomet
Franko,Miškić,28467261965,2007-03-03,2d,M,franko.miskic@eduxhub.onmicrosoft.com,True,Dodatna_nastava_Kemija
Sara,Rajkovic,63811465978,2010-09-13,2e,Ž,sara.rajkovic@eduxhub.onmicrosoft.com,True,Dodatna_nastava_Matematika;Dodatna_nastava_Fizika
Ivan,Ivanković,48577738702,2010-10-10,2e,M,ivan.ivankovic@eduxhub.onmicrosoft.com,True,Košarka
Lorena,Human,05559722821,2010-03-27,2f,Ž,lorena.human@eduxhub.onmicrosoft.com,True,Dodatna_nastava_Engleski_jezik
Dragica,Kuveždić,19761627547,2009-02-13,2f,Ž,dragica.kuvezdic@eduxhub.onmicrosoft.com,False,Stolni_tenis
Danijel,Oberan,70395328101,2006-02-23,3a,M,danijel.oberan@eduxhub.onmicrosoft.com,True
Antonio,Grahić,16586969330,2010-04-13,3a,M,antonio.grahic@eduxhub.onmicrosoft.com,False
Alisa,Pedić,99772564621,2008-01-10,3b,Ž,alisa.pedic@eduxhub.onmicrosoft.com,True,Odbojka
Nika,Potić,46679342364,2007-03-29,3b,Ž,nika.potic@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Kemija;Košarka
Ivica,Marinić,37307544415,2008-07-11,3c,M,ivica.marinic@eduxhub.onmicrosoft.com,True
Jakov,Klajić,91431335261,2007-08-22,3c,M,jakov.klajic@eduxhub.onmicrosoft.com,True,Stolni_tenis
Ljubica,Dretvić,08697431038,2007-12-22,3d,Ž,ljubica.dretvic@eduxhub.onmicrosoft.com,True,Dodatna_nastava_Hrvatski_jezik;Dodatna_nastava_Engleski_jezik
Karolina,Đukić,60062294376,2009-02-15,3d,Ž,karolina.dukic@eduxhub.onmicrosoft.com,False,Nogomet
Kristofer,Dukarić,10113941145,2010-09-10,3e,M,kristofer.dukaric@eduxhub.onmicrosoft.com,True,Dodatna_nastava_Matematika;Dodatna_nastava_Fizika
Jasmina,Jakić,61250467798,2007-02-05,3e,Ž,jasmina.jakic@eduxhub.onmicrosoft.com,False,Odbojka
Roko,Katavić,54520895028,2010-05-10,3f,M,roko.katavic@eduxhub.onmicrosoft.com,False,Šah
Pero,Sučić,89115508795,2007-05-14,3f,M,pero.sucic@eduxhub.onmicrosoft.com,True,Dodatna_nastava_Fizika;Košarka
Filip,Lučić,74284144660,2009-06-18,4a,M,filip.lucic@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Matematika
Anica,Bekić,51826590176,2009-01-09,4a,Ž,anica.bekic@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Kemija;Nogomet
Mihael,Kuruzić,09488836258,2008-07-12,4b,M,mihael.kuruzic@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Kemija
Tihomir,Bikić,60253235078,2008-11-10,4b,M,tihomir.bikic@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Matematika
Ema,Petričević,05764554722,2010-12-11,4c,Ž,ema.petricevic@eduxhub.onmicrosoft.com,True,Stolni_tenis
Tihana,Čokić,58915637118,2010-11-11,4c,Ž,tihana.cokic@eduxhub.onmicrosoft.com,True,Nogomet
Ivana,Labić,39303280105,2006-03-14,4d,Ž,ivana.labic@eduxhub.onmicrosoft.com,False,Šah
Đuro,Burić,05540612298,2008-03-16,4d,M,duro.buric@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Engleski_jezik;Odbojka
Mateo,Lovrić,35853279499,2008-08-28,4e,M,mateo.lovric@eduxhub.onmicrosoft.com,True,Dodatna_nastava_Hrvatski_jezik
Dijana,Korubić,08641781005,2007-10-15,4e,Ž,dijana.korubic@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Hrvatski_jezik
Jela,Matić,21132781887,2007-05-29,4f,Ž,jela.matic@eduxhub.onmicrosoft.com,True,Dodatna_nastava_Kemija
David,Bosakić,34212638570,2008-05-10,4f,M,david.bosakic@eduxhub.onmicrosoft.com,False,Dodatna_nastava_Engleski_jezik;Nogomet
